ID,Description,Entry_ID,Comment,Derived_Meaning_Chintang,Derived_Meaning_English,Derived_Meaning_Nepali,Expanded_Definition_English,Expanded_Definition_Nepali,alt_translation1
SN008923,talk; chat; gossip,sekhi,,,,,,,गफ
SN008924,proud; boastful,LX002624,,,,,,,सेखी
SN008925,custody,sel,,,,,,,जेल
SN008926,become.cold; become.cool,selau,,,,,,,सेलाउनु
SN008927,cock,LX002625,,,,,,भालेलाई मुन्धुमको भाषामा ओक्टोङ्वा सेलेइँवा भनिन्छ ।,भाले
SN008928,saline,selen,,,,,,,सेलेन
SN008929,SELF,SELF,"Use this entry for sounds that are not part of a linguistic system and therefore do not mean anything except their own form. This can be meaningless children's utterances but also spontaneous naturalistic imitations of sounds. New \alt should normally not be added permanently, except when it's not clear yet whether they do have a conventional meaning.",,,,,,आवाजको अनुकरण
SN008930,broom.grass,selle,,,,,thysanalaena agrestis,,अम्लिसो
SN008931,mop; broom,selluwa,,,,,,,अम्लिसो
SN008932,a.brand,selo,,,,,Indian pen brand,,सेलो
SN008933,be.weak; be.starved,selti,,,,,,,सेल्टिनु
SN008934,same,sem,,,,,,,एउटै
SN008935,a.name,LX002626,,,,,,,श्याम
SN008936,a.name,semmohar,,,,,,,सेममोहोर
SN008937,a.name,sempatra,,,,,,,सेमपत्र
SN008938,shampoo,semphu,,,,,,,सेम्फु
SN008939,calm.down; die.away,sems,,,,,,,सेल्नु; (रिस) मर्नु
SN008940,calm.down,LX002627,,,,,,,सेलाउनु; (रिस) मार्नु
SN008941,a.dynasty,sen,,,,,the Sen dynasty that ruled from Bengal through the 11th and 12th centries,,सेन
SN008942,ask; talk.to,LX002628,,,,,,,सोध्नु; बोल्नु
SN008943,army,sena,,,,,,,सेना
SN008944,dying,senca,,,,,Spirit,मुन्धुमको भाषामा मरेको आत्मालाई सेन्चा बारा भनिन्छ ।,मर्नु
SN008945,mouse,sencak,,,,,,,मुसो
SN008946,ghost; soul.of.a.dead.person,senci,,,,,,,मृतात्मा
SN008947,heaven; otherworld,sencikha,,,,,a place where the souls of the dead are believed to stay,मृतात्मा बस्ने ठाउँ,स्वर्ग
SN008948,night,sendu,this word is used only in combination with athom (athom sendu 'last night')and pai (pai sendu 'tonight'). Cf. usendu 'at.night',,,,,,रात
SN008949,center,sentar,,,,,,,केन्द्र
SN008950,centimeter,senti,,,,,,,सेन्टिमिटर
SN008951,hopeless; abject,LX002629,"English loanword, apparently there's a misunderstanding as to the meaning of the English word ""sentimental"", it is taken to mean 'hopeless'",,,,,,निरास्
SN008952,a.place,LX002630,,,,,,,स्याङ्जा
SN008953,be.purified,LX002631,,,,,,,चोखिनु
SN008954,wipe; clean; purge; purify,LX002632,,,,,,,पुछ्नु; केलाउनु; चोक्खाउनु; सफा गर्नु
SN008955,purify,LX002633,,,,,,,चोक्खाउनु
SN008956,pure,LX002634,,,,,,,
SN008957,all; more,sepepe,,,,,,,सबै
SN008958,shady.and.windy,sepilo,,,,,,,सेपिलो
SN008959,braid,septi,,,,,,,सेप्टी
SN008960,a.name,ser,,,,,,,सेर
SN008961,two.pounds,LX002635,,,,,,,सेर
SN008962,mongoose,LX002636,,,,,,,न्याउरी मुसो
SN008963,environment; surroundings,serophero,,,,,,,सेरो-फेरो
SN008964,a.book,LX002637,,,,,,,सेरो फेरो
SN008965,an.ethnic.group,serpa,,,,,one of the Tibeto-Burman speaking tribes of Nepal,,शेर्पा
SN008966,moulder; get.mouldy; rot,ses,,,,,,,सड्नु
SN008967,prune; trim,LX002638,,,,,,,छाट्नु; छास्नु
SN008968,spirit; ghost,sesantar,,,,,,,शेषान्तर
SN008969,kill; hit,set,,,,,"Can be used for all kinds of things. In particular, it is used to express 'stop using an object', as in 'turn off the light', 'switch off the radio', 'close the umbrella'.",,मार्नु; हान्नु
SN008970,win; win.against; defeat,LX002639,,,,,,,जित्नु
SN008971,make.lose.control,LX002640,,,,,usually of alcohol,,मात्नु
SN008972,be.satisfied.with,LX002641,,,,,,,चित्त बुझाउनु
SN008973,satisfy,LX002642,,,,,,,चित्त बुझाउनु
SN008974,set,LX002643,,,,,,,सेट
SN008975,catch.sight; recognize; discover,-set,,,,,,,हेर्नु
SN008976,DESTR.TR destructive.transitive,LX002644,,,,,,,
SN008977,end.the.wedding,LX002645,,,,,cancel a wedding in the bride's family's home without making the wedding procession go to the bridegroom's house ; माइतीमै विहे टुङ्गयाउनु /जन्त नफर्काऊनु,,टुङ्गयाउनु
SN008978,settle,setal,,,,,,,सेटल
SN008979,a.name,sete,,,,,,,सेते
SN008980,white,seto,,,,,,,सेतो
SN008981,kill.for.someone,sett,The beneficient cannot be expressed overtly (unless -bid [BEN] is used): *Saŋa haniphak nasettihẽ?,,,,,,मारिदिनु
SN008982,be.satisfied.with,LX002646,,,,,,,चित्त बुझाउनु
SN008983,satisfy,LX002647,,,,,,,चित्त बुझाउनु
SN008984,lending,sethi,,,,,,,सेठी
SN008985,apple,seu,,,,,,,स्याउ
SN008986,seed,seubi,,,,,,,बीउ
SN008987,leaves; cut.branches,seula,,,,,,,स्याला
SN008988,worship; service,sewak,,,,,,,सेवा
SN008989,a.name,sewan,,,,,,,सेवान
SN008990,a.letter,si,,,,,English <c>,,सी
SN008991,vagina; pussy,LX002648,"probably -ss after possessive prefixes a-, i-, u-",,,,,,योनि; पुती; भग
SN008992,die; cease; stop,LX002649,,cuŋŋa sima,be.cold,,,,मर्नु
SN008993,feel,LX002650,,cuwalamma sima ; cuwawaiʔma sima,be.thirsty ; be.thirsty,तिर्खा लाग्नु ; तिर्खा लाग्नु,,,लाग्नु
SN008994,would.like.to; feel.like.doing,LX002651,,,,,,,गर्ने मन लाग्नु
SN008995,be.satisfied,LX002652,,,,,,,चित्त बुझ्नु; सन्तुष्ट हुनु
SN008996,IDEOPH,LX002653,,,,,to clean the nose,,सिं
SN008997,PURP,-si,,,,,purposive,,-न
SN008998,DESTR.ITR destructive.intransitive,LX002654,,,,,,,
SN008999,a.deity,siba,,,,,"Śiva, one of the three great gods of Hinduism",,शिव
SN009000,a.name,LX002655,,,,,,,शिव
SN009001,a.clan,LX002656,,,,,,,सिबालुङ्
SN009002,dying,sibdo,,,,,dying or diappearing,मुन्धुमको भाषामा प्रयोग हुने यो शब्द नाम भए पनि यसको अर्थ क्रिया हुन्छ ।,मरेर (नासिएर)
SN009003,bean,sibi,,,,,,,सिमी
SN009004,ginger,LX002657,,,,,,मुन्धुमको भाषामा अदुवालाई सिबिचोङ मेङमाचोङ भनेर भनिन्छ ।,अदुवा
SN009005,civil,sibil,,,,,,,सिबिल
SN009006,a.kind.of.yam,sibola,,,,,,,सिमल तरुल
SN009007,irrigation,sicai,,,,,,,सिँचाइ
SN009008,a.place,siddapakha,,,,,,,सिद्दपाखातिरै
SN009009,a.place,siddilekh,,,,,,,सिद्दि लेक
SN009010,be.finished; end,siddhi,,,,,,,सिद्धिनु
SN009011,CD,sidi,,,,,compact disc,,सिडि
SN009012,CDO,sidio,,,,,Chief District Officer,,सिडियो
SN009013,dried.fish,sidra,,,,,,,सिद्रा
SN009014,finish,sidyau,,,,,,,सिद्ध्याउनु
SN009015,straight,sidha,,,,,,,सिधा
SN009016,step,LX002658,,,,,,,सिंढी
SN009017,community.medical.assistant,sieme,,,,,,,प्राथमिक स्वास्थ कार्यकरता
SN009018,snot,sigan,,,,,,,सिंगान
SN009019,snotty.nose,sigane,,,,,,,सिंगाने
SN009020,black.and.white,sigare,,,,,of a goat,,सिङारे
SN009021,dressing.up; adornment,sigarpatar,,,,,,,सिगार-पटार
SN009022,care; attention,sihar,,,,,,,सिहार
SN009023,time; season,sijan,,,,,,,सिजन
SN009024,learn,sik,,,,,,,सिक्नु
SN009025,a.brand.name,sikakai,,,,,oil for long hair,,सिकाकाई
SN009026,hunt,sikar,,,,,,,सिकार
SN009027,hunter,sikari,,,,,,,सिकारी
SN009028,hunting.spirit,LX002659,,,,,,,शिकारि
SN009029,teach,sikau,,,,,,,सिकाउनु
SN009030,educated; learned; studied,sikchit,,,,,,,शिक्षित
SN009031,education,sikchya,,,,,,,शिक्षा
SN009032,teacher,sikchyak,,,,,,,शिक्षक्
SN009033,half,siki,,,,,,,आधा
SN009034,a.place,sikkhim,,,,,a region in India,,सिखिम
SN009035,shroud,sikkhum,,,,,,,
SN009036,signature,siknecar,,,,,,,दस्तखत
SN009037,small.stick,sikra,,,,,,,सेक्रा
SN009038,cigarette,sikret,,,,,,,चुरोट
SN009039,chain,sikri,,,,,a gold head-ornament worn by women,,सिक्रि
SN009040,six,siks,,,,,,,छ
SN009041,weakling; thin.man,sikute,,,,,,,सिकुटे
SN009042,dried.meat,sikuti,,,,,,,सिकुटी
SN009043,veranda; porch,sikuwa,,,,,,,सिकुवा
SN009044,comb,sikhip,,,,,,,काँइयो
SN009045,wrinkle; turn.up,sil,,,,,"collocates with parts of the face (nose, mouth)",,खुम्चिनु
SN009046,wrinkle; turn.up,LX002660,,,,,"collocates with parts of the face (nose, mouth)",,खुम्च्याउनु
SN009047,tear.out; pull.out; bite.and.pull.out; snatch; pinch,LX002661,,,,,,,लुछ्नु; लाछ्नु
SN009048,a.name,sila,,,,,female name,,शिला
SN009049,silver,silabar,,,,,,,सिलबर
SN009050,stone.inscription,silalekh,,,,,,,शिलालेख
SN009051,a.place,LX002662,,,,,,सिलाङ इन्डियाको एउटा ठाउँको नाम,सिलाङ
SN009052,grinding.stone,silauto,,,,,,,सिलौटो
SN009053,a.place,silgadhi,,,,,,,सिलगढी
SN009054,whetstone,sili,,,,,,,सिली
SN009055,everywhere; diligently,LX002663,,,,,manner of searching,,चुलबुल
SN009056,cylinder,silindar,,,,,,,सिलिन्डर
SN009057,mugwort,LX002664,,,,,,,तितेपाती
SN009058,long.feeted,silkhutte,,,,,,,सिलखुट्टे
SN009059,sim.card,sim,,,,,,,सिम कार्ड
SN009060,death,sima,,,,,,,मृत्यु
SN009061,[abusive],simac,,,,,,,सिमाज
SN009062,silk.cotton.tree,simal,,,,,,,सिमल
